,text,tag
0,善の自由民主社会の救世主・尾崎全紀先生vs悪のネット工作員、悪のマスコミ、ウソとダマシの似非エリート、悪の大阪維新の会。,1.0
1,おつかれ!こっちは起きたとこです。|朝起ちしてますがなにか?,0.0
2,悪魔崇拝者はギリシャから生まれたと聞くよ。,1.0
3,どうせいつもの反日特ア,0.0
4,"“@seigikantoha:「アイヌ」ヘイト頻発反「差別」声上げる時|金子議員が指摘しているアイヌ官製談合の住民監査請求(12月25日公開陳述)に併せてこの記事。正しい人間を貶めアイヌを擁護する悪意に満ちた記事だ。""|>はぁ⁇",0.0
5,あなた、あっちの方はどうなの?外で浮気してるんじゃないでしょうね。仕方ないわね・・・わたしがこっそりあなたと浮気してあげましょうか。うふふ・・でも、やっぱり浮気するとあの人に悪いから、テレフォンセックスくらいなら、してあげてもいいわよ。,0.0
6,勝手に話を作り変えないで下さい。|従軍慰安婦問題は朝日新聞が吉田の証言を元に捏造記事を書いて、それに福島瑞穂などの穀潰しが参戦して、そこに金の匂いを感じた韓国がたかる原因となった。従軍慰安婦は朝鮮人による朝鮮人への犯罪であって、日本人はそれが発生しないように管理しただけ。,0.0
7,その通りです|安倍晋三が権力を維持する為の道具であり|アメリカの傀儡であり、対米従属の媚中です| |,1.0
8,チベット|お寺のお坊さんに対し、残虐非道な手法で殺害、ch〇naは自称、銃を撃っていない|デモというよりも、健全な抗議活動、言論表現の自由を許さず、子供・乳飲み子、女性まで容赦なく迫害、逆に弱いものは迫害する対象|,1.0
9,両手を差し出したら止めて両手マンコでオナホのように解除したころには手がベットベトオマンコからもザーメンがどろぉっと,0.0
10,革マル派と繋がりある立憲民主党ですか。モー娘も落ちましたね。,1.0
11,「ネトウヨ」を好んで使うのがパヨクとサヨクと工作員|そして日本語の理解力総じて低い,1.0
12,流鏑馬と揚羽本手なんで好きかなぁとか思ったけど受け入れる側の独占欲みたいなの見えるからかなぁ!,0.0
13,モザ無しの従兄弟との兜合わせの写真がイチバン抜けると思った。,0.0
14,円光でこれ耐えたら○万、ちょろ、、wとか考えてる子をひたすらいじめて後悔させてみたいw||,0.0
15,「靖国への放尿事件」在日韓国朝鮮人は過去の出来事を捏造し、悲劇の主役を演じ、今の日本人に責任を取れと迫るが、自分達の同胞の不始末は「他人事」にするんだよね。日本で暮らしている民潭や総連から靖国へ謝罪と清掃に出向いて当然だと思うけど、謝罪の言葉すら無く責任を感じることすらない。,1.0
16,だから彼らは自分が視聴者を騙していることを承知の上で、その穢さをぼかしぼかし金を集めている。||悪し様に言ったけどこれはこれで善いと思うよ僕は。ちゃんと自分が見えているってことだし。||問題なのはそれが見えていない周りの層だ。,0.0
17,太陽ウィルスってもう明らかにテロ行為だよね。冷静に考えて世界に太陽ウィルスばら撒いて、ワクチン、マスク外交。途上国には港を作ってそこを拠点に乗っ取り、アメリカ大統領を社会主義者で某国と仲良しの大統領にチェンジ。オリンピック強行させるって色々出来過ぎでしょうよ。,1.0
18,北海道釧路市は生活保護不正受給者八割、シングルマザー増加理由妻子扶養義務無しドメスティックバイオレンス定着化無き産業学力資格無少子高齢化性犯罪殺人事件当たり前などマイナス負の連鎖もう沈没間近のタイタニック船オリエント、ブリタニックも海底に沈没。この街と心中か新天地の希望的未来かだ,1.0
19,民族一括りにするなとはいうが|断交とは民族一括りで語るもの|日本は進行形で何ら挑発してないにも関わらず|その逆の愚行を長年続ける国|それを糾弾しない異民族と共存など拒絶して当然|国家侵略の危険のある国、民族を遠ざけるべく叫ぶ|声はヘイトなどにはならない|国防という合理的理由がある,0.0
20,【極悪国粋カルト偏向扇動反中反露:産経新聞】鳩山元首相「日本も尖閣領海内に入るな」問題棚上げ主張|★日本では鳩山は宇宙人、すべてのメディアが反中反露、日本人の90%が中国は敵やと思とる。中国はそれを知っとんかいな。,1.0
21,<木下ゆら>これもしかしてavかな?黒子におっぱいしゃぶられたり男どもに電マ攻撃されたりしてるけど(イメージビデオ),0.0
22,在日米軍基地職員がボランティアやれー,0.0
23,あのトレーラーハウスみたいな宿舎で丹念に太ももコキしてくれるグローザさん,0.0
24,「放置プレイ」という誤解を招く表現を用いたことに関しては謝罪します。|僕自身のスタンスとしては、慰安婦像設置や農作物の窃盗などのように実害が出ている事例に対しては相応の対応が必要であると考えています。,0.0
25,顰蹙買うかもしれないと思って尚言う理由は何ですか?|是非教えてください|それと、街中ですれ違った方にも顰蹙買うかもしれないと思っても声をかけて的外れなご意見をぶつけるんでしょうか?|ご自身が他人から下に見られる事で快感を得られるのでしょうか?,1.0
26,ヤバいやつ1位はよっぴー君自信らしい。なんでも食糞飲尿の習慣があり、常に逆立ちで外出時は全裸、洞穴で暮らし体内にアリを飼っていて、趣味は陰毛を三つ編みに結ぶこと、普段はカルト宗教の運営で生計を立てており、彼は信者のちんこを蛇に噛ませる係らしいです。あと粗チン。,1.0
27,いわゆるパヨクもネトウヨも左右こそ異なれど中身は同じ||「ネット左翼」はなぜ差別的・攻撃的なのか,1.0
28,立憲、共産、社民はもっとやばいよ|民主が良かった試しもないけどな。|もろ、民主の悪政で煽られて苦労しましたんで、民主系列を応援することは永久にないな。,0.0
